date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:58	48071/48071	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2015:35:38%20GMT	https://www.nightingale.world/	C:/My%20Web%20Sites/webhost/www.nightingale.world/index.html	(from )
09:58:58	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Feb%202020%2004:28:57%20GMT	https://www.nightingale.world/robots.txt		(from )
09:58:58	5110/5110	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2014:20:24%20GMT	https://www.nightingale.world/apple-touch-icon.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/apple-touch-icon.png	(from https://www.nightingale.world/)
09:58:59	1608/1608	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2014:20:16%20GMT	https://www.nightingale.world/favicon-32x32.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/favicon-32x32.png	(from https://www.nightingale.world/)
09:58:59	774/774	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2014:20:16%20GMT	https://www.nightingale.world/favicon-16x16.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/favicon-16x16.png	(from https://www.nightingale.world/)
09:58:59	426/426	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2014:20:13%20GMT	https://www.nightingale.world/site.webmanifest	C:/My%20Web%20Sites/webhost/www.nightingale.world/site.html	(from https://www.nightingale.world/)
09:58:59	2243/2243	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2020%20Jan%202020%2014:20:13%20GMT	https://www.nightingale.world/safari-pinned-tab.svg	C:/My%20Web%20Sites/webhost/www.nightingale.world/safari-pinned-tab.svg	(from https://www.nightingale.world/)
09:59:00	94882/94882	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2015:56:37%20GMT	http://www.nightingale.world/wp-content/cache/wpfc-minified/jou803d9/5tqgb.css	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/cache/wpfc-minified/jou803d9/5tqgb.css	(from https://www.nightingale.world/)
09:59:02	3197/3197	---M--	403	error ('Forbidden')	text/html		http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/webhost/connect.facebook.net/en_US/fbevents.7.delayed	(from https://www.nightingale.world/)
09:59:02	561970/561970	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202019%2017:13:33%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/banner.png	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/banner.png	(from https://www.nightingale.world/)
